menu,llm_score,user_score
ginger spicy salad rice pepper potatoes beans broccoli roasted beef greens sweet,3,2
garlic steamed potatoes pepper broccoli curry bbq greens ginger chicken,3,3
spicy bbq turkey greens beans salad beef rice carrots,3,4
bbq spicy steamed greens rice broccoli garlic pasta beef potatoes salad,3,5
broccoli herb pepper carrots beans garlic bbq,3,2
sesame chicken beans potatoes ginger broccoli salad roasted greens steamed pasta,3,3
curry herb spicy carrots roasted garlic pepper,3,4
chicken sesame beans beef pasta turkey pepper potatoes ginger steamed salad broccoli,3,5
potatoes greens roasted bbq beef turkey sweet,3,1
bbq steamed tofu salad potatoes carrots roasted greens beans chicken pepper ginger,3,2
greens beef carrots pasta roasted broccoli rice ginger garlic spicy beans,3,2
pepper tofu garlic curry roasted herb steamed spicy,3,3
sesame greens spicy salad broccoli bbq sweet chicken,3,2
sesame bbq ginger sweet pasta roasted herb broccoli,3,5
potatoes pasta beef sweet turkey salad carrots curry,3,4
chicken beans potatoes broccoli garlic pepper pasta greens carrots,3,3
beef roasted salad garlic spicy tofu herb,3,4
beans beef sesame salad sweet garlic greens rice steamed,3,4
rice pasta ginger pepper broccoli chicken beans bbq curry,3,5
sweet turkey steamed rice bbq curry roasted garlic herb pasta carrots pepper,3,2
beans chicken sweet broccoli steamed rice pasta pepper garlic,3,3
roasted curry beans tofu herb spicy,3,4
curry roasted ginger carrots pepper greens tofu salad bbq broccoli,3,1
potatoes turkey beef broccoli curry chicken spicy sesame,3,3
rice beef roasted sweet sesame tofu garlic,3,1
sweet broccoli chicken greens steamed potatoes,3,2
tofu spicy greens broccoli sweet turkey pasta garlic,3,2
steamed chicken broccoli beef potatoes spicy bbq,3,4
beans broccoli carrots salad beef steamed pepper pasta,3,5
pasta ginger beans tofu broccoli rice roasted,3,4
mojo pork plantains plate spicy mango salad chicken veggie stir fry jasmine rice steamed broccoli florets,3,3
mac cheese crispy onions zucchini tomatoes savory bbq chicken turnip greens cajun roasted pork loin cajun grilled baked potato zucchini yellow squash saute,3,4
chicken tikka masala basmati rice cumin roasted cauliflower tikka chaat salad stonefire garlic naan roasted sweet potatoes brussels sprouts carrots maple glazed roasted turkey breast,3,2
garlic ginger fried rice glazed carrots sweet soy green beans crispy pork bao penne chicken cacciatore sauce grilled zucchini squash,3,3
crispy pollock pimento cheese style grits spicy corn tomatoes seasoned steamed green beans honey bbq pork chop roasted sweet potatoes lemon broccoli,3,4
